"Proposed page title","URL","Primary target keyword","Secondary keyword themes","Search intent","Funnel stage","Parent topic/pillar","Pages it should link to","Pages that should link to it","Primary IRN service/conversion goal","Priority","Current status","Cannibalisation risk","Notes","Phase","Page type","Cluster","Publication status","Last updated","Internal links completed","Schema completed","Search Console impressions","Search Console clicks","Average position","CTR","Notes/actions","Live title","Live meta description","Live canonical","Live robots","Live H1","Live schema types","Hero image status","Supporting image status","Image brief status","ALT text status","OG image status"
"Clinical Disclaimer","/clinical-disclaimer","clinical disclaimer","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Trust and assisted conversion","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 175 characters; shorten without losing decision value.","Existing inventory","Policy / trust","Trust","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 175 characters; shorten without losing decision value.","Clinical Disclaimer | Insight Recovery Network","Insight Recovery Network provides private online support and guidance, not regulated medical treatment. Read our full clinical disclaimer including emergency service contacts.","https://www.insightrecoverynetwork.com/clinical-disclaimer","index, follow","Clinical Disclaimer","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Clear, responsible commentary on addiction and recovery.","/media","media & expert commentary","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Trust and assisted conversion","P3","Existing","Low","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML.","Existing inventory","About / E-E-A-T","Trust","Live","","No - raw HTML orphan","Partial - breadcrumb missing live","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML.","Media & Expert Commentary | Craig Bilton","Media enquiries and expert commentary from Craig Bilton on addiction, recovery, treatment, families and crypto-trading addiction.","https://www.insightrecoverynetwork.com/media","index, follow","Clear, responsible commentary on addiction and recovery.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Addiction Help in Cornwall: Assessment, Online Support and Rehab Placement","/addiction-help-cornwall","addiction help Cornwall","rehab Cornwall; alcohol support Cornwall; private treatment","Local commercial","Decision","UK locations","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or treatment enquiry","P1","Improve","Medium","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Commercial landing page","Online recovery","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Addiction Help in Cornwall: Online Support & Rehab Placement","Confidential addiction help in Cornwall, including online assessment, recovery support, family guidance and assessment-led UK or international rehab placement.","https://www.insightrecoverynetwork.com/addiction-help-cornwall","index, follow","Addiction Help in Cornwall: Assessment, Online Support and Rehab Placement","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, AdministrativeArea, BreadcrumbList, ListItem, FAQPage, Question, Answer, Country, Person","","","","",""
"Craig Bilton","/craig-bilton","craig bilton","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Trust and assisted conversion","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 191 characters; shorten without losing decision value. Raw HTML is light at about 203 words; assess usefulness rather than adding filler.","Existing inventory","About / E-E-A-T","General recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 191 characters; shorten without losing decision value. Raw HTML is light at about 203 words; assess usefulness rather than adding filler.","Craig Bilton | Founder of Insight Recovery Network","Craig Bilton is the Founder and Clinical Director of Insight Recovery Network, supporting individuals and families with addiction recovery, treatment placement, and structured online support.","https://www.insightrecoverynetwork.com/craig-bilton","index, follow","Craig Bilton","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Luxury Rehab and Private International Treatment","/luxury-rehab","luxury rehab and private international treatment","private addiction support; assessment; next steps","Transactional","Decision","Treatment navigation","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P3","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Commercial landing page","Treatment navigation","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Luxury Rehab: Private and International Treatment Options | IRN","Compare luxury rehab in the UK and abroad, including clinical quality, privacy, accommodation, medical provision, costs and aftercare planning.","https://www.insightrecoverynetwork.com/luxury-rehab","index, follow","Luxury Rehab and Private International Treatment","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, Country, BreadcrumbList, ListItem, FAQPage, Question, Answer, Person","","","","",""
"Executive Rehab for Professionals and Business Leaders","/executive-rehab","executive rehab for professionals and business leaders","private addiction support; assessment; next steps","Transactional","Decision","Treatment navigation","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P3","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Commercial landing page","Treatment navigation","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Executive Rehab: Confidential Treatment for Professionals | IRN","Confidential executive rehab guidance for professionals, business owners and public-facing individuals comparing private treatment in the UK or abroad.","https://www.insightrecoverynetwork.com/executive-rehab","index, follow","Executive Rehab for Professionals and Business Leaders","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, Country, BreadcrumbList, ListItem, FAQPage, Question, Answer, Person","","","","",""
"Destination Rehab and Private Treatment Abroad","/destination-rehab","rehab abroad from UK","overseas rehab; international addiction treatment","Commercial investigation","Decision","International placement","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Treatment placement enquiry","P1","Improve","Medium","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Commercial landing page","International placement","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Destination Rehab: Private Treatment Abroad and Overseas | IRN","Compare private rehab abroad, including travel safety, detox, costs, family access, treatment length and aftercare after returning to the UK.","https://www.insightrecoverynetwork.com/destination-rehab","index, follow","Destination Rehab and Private Treatment Abroad","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, Country, BreadcrumbList, ListItem, FAQPage, Question, Answer, Person","","","","",""
"Private Rehab in Thailand: Costs and Treatment Placement","/private-rehab-thailand","private rehab in thailand: costs and treatment placement","private addiction support; assessment; next steps","Transactional","Decision","International placement","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML.","Existing inventory","Commercial landing page","International placement","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML.","Private Rehab Thailand: Costs & Treatment Placement | IRN","Compare private rehab in Thailand, guide costs from £8,000 to £15,000, detox, trauma-informed care, programme lengths and assessment-led placement support.","https://www.insightrecoverynetwork.com/private-rehab-thailand","index, follow","Private Rehab in Thailand: Costs and Treatment Placement","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, Country, AggregateOffer, FAQPage, Question, Answer, Person","","","","",""
"Private Rehab in South Africa","/private-rehab-south-africa","private rehab in south africa","private addiction support; assessment; next steps","Transactional","Decision","International placement","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Title is 86 characters; review SERP truncation and keyword focus. Meta description is 194 characters; shorten without losing decision value.","Existing inventory","Commercial landing page","International placement","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 86 characters; review SERP truncation and keyword focus. Meta description is 194 characters; shorten without losing decision value.","Private Rehab in South Africa | Costs, Placement & Guidance | Insight Recovery Network","Considering rehab in South Africa? Assessment-led guidance on residential addiction treatment, with long-term programmes from around £1,800 per month up to around £10,000 for premium facilities.","https://www.insightrecoverynetwork.com/private-rehab-south-africa","index, follow","Private Rehab in South Africa","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, Country, AggregateOffer, FAQPage, Question, Answer, Person","","","","",""
"Private Rehab in Spain","/private-rehab-spain","private rehab in spain","private addiction support; assessment; next steps","Transactional","Decision","International placement","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Title is 79 characters; review SERP truncation and keyword focus. Meta description is 187 characters; shorten without losing decision value.","Existing inventory","Commercial landing page","International placement","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 79 characters; review SERP truncation and keyword focus. Meta description is 187 characters; shorten without losing decision value.","Private Rehab in Spain | Costs, Placement & Guidance | Insight Recovery Network","Considering private rehab in Spain? Assessment-led guidance on residential addiction treatment, from around £4,000 to £28,000 depending on facility, close to the UK with discreet options.","https://www.insightrecoverynetwork.com/private-rehab-spain","index, follow","Private Rehab in Spain","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, Country, AggregateOffer, FAQPage, Question, Answer, Person","","","","",""
"Private Rehab in Sri Lanka","/private-rehab-sri-lanka","private rehab in sri lanka","private addiction support; assessment; next steps","Transactional","Decision","International placement","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Title is 83 characters; review SERP truncation and keyword focus. Meta description is 185 characters; shorten without losing decision value.","Existing inventory","Commercial landing page","International placement","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 83 characters; review SERP truncation and keyword focus. Meta description is 185 characters; shorten without losing decision value.","Private Rehab in Sri Lanka | Costs, Placement & Guidance | Insight Recovery Network","Considering rehab in Sri Lanka? Assessment-led guidance on residential addiction treatment, typical costs from £12,000 to £18,000, smaller facilities and confidential placement support.","https://www.insightrecoverynetwork.com/private-rehab-sri-lanka","index, follow","Private Rehab in Sri Lanka","ProfessionalService, PostalAddress, ContactPoint, WebSite, Service, Country, AggregateOffer, FAQPage, Question, Answer, Person","","","","",""
"Prescription Drug Addiction: Signs, Risks and Help","/resources/prescription-drug-addiction","prescription drug addiction","prescription medicine dependence; withdrawal safety; opioids; benzodiazepines; gabapentinoids; Z-drugs","Informational safety","Awareness","Prescription drugs","/resources/benzodiazepine-withdrawal; /resources/opioid-detox; /resources/addiction-detox-uk; /assessments/detox; /treatment-placement","Resource hub; detox hub; withdrawal guides; future prescription-drug treatment page","Medical-provider navigation and treatment enquiry","P1","Existing","Medium","Authority article published concurrently on origin/main and reconciled into Batch 2. Retained as the broad prescription-medicine pillar and linked to specific withdrawal decisions.","Existing inventory","Resource article","Prescription drugs","Live in origin/main","2026-08-28","Yes","Yes","","","","","Monitor broad prescription-drug queries and do not duplicate this authority intent in a withdrawal or commercial page.","Prescription Drug Addiction: Signs and Help | IRN","Learn the signs and risks of prescription drug addiction, why some medicines must not be stopped suddenly and how safe UK assessment and treatment work.","https://www.insightrecoverynetwork.com/resources/prescription-drug-addiction","index, follow","Prescription Drug Addiction: Signs, Risks and Help","ProfessionalService, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, BreadcrumbList","","","","",""
"Cannabis Addiction: Signs, Effects and Treatment","/resources/cannabis-addiction","cannabis addiction","cannabis dependence; withdrawal; treatment","Informational","Awareness","Cannabis","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Substance treatment enquiry","P1","Improve","Medium","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Existing inventory","Resource article","Cannabis","Live","","No - raw HTML orphan","Yes / present","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Cannabis Addiction: Signs, Effects and Treatment - IRN","Learn the signs and effects of cannabis addiction, what withdrawal can feel like, when mental-health risks need urgent help and UK treatment options.","https://www.insightrecoverynetwork.com/resources/cannabis-addiction","index, follow","Cannabis Addiction: Signs, Effects and Treatment","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Ketamine Addiction: Signs, Harms and Treatment","/resources/ketamine-addiction","ketamine addiction","ketamine bladder; dependence; treatment","Informational","Awareness","Ketamine","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Substance treatment enquiry","P1","Improve","Medium","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Existing inventory","Resource article","Ketamine","Live","","No - raw HTML orphan","Yes / present","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Ketamine Addiction: Signs, Harms & Treatment | IRN","Understand ketamine addiction, bladder and mental-health harms, urgent warning signs, assessment and evidence-based UK treatment options.","https://www.insightrecoverynetwork.com/resources/ketamine-addiction","index, follow","Ketamine Addiction: Signs, Harms and Treatment","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Benzodiazepine Addiction and Dependence: UK Guide","/resources/benzodiazepine-addiction","benzodiazepine addiction","benzodiazepine dependence; withdrawal; treatment","Informational","Awareness","Benzodiazepines","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Substance treatment enquiry","P1","Improve","Medium","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","Benzodiazepines","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Benzodiazepine Addiction and Dependence: UK Guide | IRN","Understand benzodiazepine dependence, addiction and withdrawal risks, when urgent help is needed, and how safe UK assessment and treatment work.","https://www.insightrecoverynetwork.com/resources/benzodiazepine-addiction","index, follow","Benzodiazepine Addiction and Dependence: UK Guide","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Mental Health and Addiction: A Complete UK Guide","/resources/mental-health-and-addiction","mental health and addiction: uk guide","dual diagnosis signs; risks; support; treatment options","Informational","Awareness","Dual diagnosis","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P1","Improve","Medium","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","Dual diagnosis","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Mental Health and Addiction: UK Guide | IRN","Understand how mental health and addiction interact, what a safe assessment covers, urgent warning signs and how to find coordinated UK support.","https://www.insightrecoverynetwork.com/resources/mental-health-and-addiction","index, follow","Mental Health and Addiction: A Complete UK Guide","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Cocaine Addiction: Signs, Risks and Treatment","/resources/cocaine-addiction","cocaine addiction","cocaine signs; risks; cocaine treatment UK","Informational","Awareness","Cocaine","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Substance treatment enquiry","P1","Improve","Medium","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Existing inventory","Resource article","Cocaine","Live","","No - raw HTML orphan","Yes / present","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Cocaine Addiction: Signs, Risks and Treatment | IRN","Learn the signs and risks of cocaine addiction, what withdrawal can feel like, and which UK treatment options may help. Includes urgent-help advice.","https://www.insightrecoverynetwork.com/resources/cocaine-addiction","index, follow","Cocaine Addiction: Signs, Risks and Treatment","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Addiction Detox UK: Safety, Settings and Next Steps","/resources/addiction-detox-uk","addiction detox UK","drug and alcohol detox; medical detox; detox assessment","Informational","Awareness","Detox","/assessments/detox; /treatment-placement; five withdrawal guides; /resources/detox-vs-rehab","All substance pillars; treatment pages; assessments; resource hub","Detox assessment or provider-navigation enquiry","P1","Improve","Medium","Batch 2 strengthens this route as the general detox authority hub and adds the complete substance-specific withdrawal decision directory.","Existing inventory","Resource article","Detox","Branch-ready","2026-08-28","Yes","Yes","","","","","Deploy, then monitor general detox queries; do not create a second broad detox hub.","Addiction Detox UK: Safety, Settings and Next Steps | IRN","Understand when addiction detox needs medical support, how community, residential and inpatient settings differ, and what should happen afterwards.","https://www.insightrecoverynetwork.com/resources/addiction-detox-uk","index, follow","Addiction Detox UK: Safety, Settings and Next Steps","ProfessionalService, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, BreadcrumbList","Implemented: addiction-detox-uk-treatment-navigation-hero.webp (1600x900 WebP; 140 KB)","Replacement still required for both branded/readable-text supporting images; current placements retained","Complete - brief 6; supplied hero accepted; supporting set outstanding","Hero ALT implemented literally; replacement supporting-image ALTs remain approved in the brief","Implemented: addiction-detox-uk-treatment-navigation-og.webp (1200x630; 84 KB)"
"Residential Rehab UK: What Happens and Who It Helps","/resources/what-happens-in-residential-rehabilitation","residential rehab uk: what happens and who it helps","treatment navigation signs; risks; support; treatment options","Commercial investigation","Consideration","Treatment navigation","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P2","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","Treatment navigation","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Residential Rehab UK: What Happens and Who It Helps","Learn what happens in residential rehab, who it may help, how detox and therapy differ, and how to compare safe, suitable UK treatment.","https://www.insightrecoverynetwork.com/resources/what-happens-in-residential-rehabilitation","index, follow","Residential Rehab UK: What Happens and Who It Helps","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Dual Diagnosis: Addiction and Mental Health in the UK","/resources/dual-diagnosis","dual diagnosis UK","mental health and addiction; integrated treatment","Informational","Awareness","Dual diagnosis","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or placement enquiry","P1","Improve","Medium","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","Dual diagnosis","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Dual Diagnosis: Addiction and Mental Health UK","Understand dual diagnosis, assessment and joined-up addiction and mental-health treatment in the UK, including care options and when to get help.","https://www.insightrecoverynetwork.com/resources/dual-diagnosis","index, follow","Dual Diagnosis: Addiction and Mental Health in the UK","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Online Addiction Recovery Programme: Evidence & Safety","/resources/online-recovery-programmes","online addiction recovery programme: uk guide","online recovery signs; risks; support; treatment options","Informational","Awareness","Online recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P2","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","Online recovery","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Online Addiction Recovery Programme: UK Guide | IRN","Learn how online addiction recovery programmes work, who they may suit, safety limits, evidence and how to choose credible UK support.","https://www.insightrecoverynetwork.com/resources/online-recovery-programmes","index, follow","Online Addiction Recovery Programme: Evidence & Safety","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Addiction Support for Families: A Complete UK Guide","/resources/addiction-support-for-families","addiction support for families: uk guide","general recovery signs; risks; support; treatment options","Informational","Awareness","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P2","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","General recovery","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Addiction Support for Families: UK Guide | IRN","Practical UK guidance for families affected by addiction: safety, conversations, boundaries, treatment options and support for your own wellbeing.","https://www.insightrecoverynetwork.com/resources/addiction-support-for-families","index, follow","Addiction Support for Families: A Complete UK Guide","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, MedicalWebPage, MedicalAudience, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"Early Findings: Families Are Carrying the Burden of Addiction Alone","/resources/families-carrying-burden-addiction-early-findings","families carrying addiction's burden","general recovery signs; risks; support; treatment options","Informational","Awareness","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P2","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","General recovery","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Families Carrying Addiction's Burden | Early Findings","Early UK findings reveal how families carry responsibility, secrecy and conflict around addiction, and why support must include the whole family.","https://www.insightrecoverynetwork.com/resources/families-carrying-burden-addiction-early-findings","index, follow","Early Findings: Families Are Carrying the Burden of Addiction Alone","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, BreadcrumbList, ListItem, Country","","","","",""
"Why Families Can Live with Addiction for Years Before Seeking Help","/resources/why-families-delay-seeking-addiction-help","why families delay seeking addiction help","general recovery signs; risks; support; treatment options","Informational","Awareness","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment or suitable support enquiry","P2","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","General recovery","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Why Families Delay Seeking Addiction Help | UK Findings","Early UK findings explore why families may live with addiction for years before seeking help, including fear, hope and uncertainty about treatment.","https://www.insightrecoverynetwork.com/resources/why-families-delay-seeking-addiction-help","index, follow","Why Families Can Live with Addiction for Years Before Seeking Help","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, BreadcrumbList, ListItem, Country","","","","",""
"The Hidden Cost of Addiction Is Not Only Financial","/resources/hidden-family-cost-of-addiction","the hidden family cost of addiction","family support signs; risks; support; treatment options","Commercial investigation","Consideration","Family support","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Family support enquiry","P2","Existing","Low","Meta description is 35 characters; strengthen.","Existing inventory","Resource article","Family support","Live","","Partial / present","Yes / present","","","","","Meta description is 35 characters; strengthen.","The Hidden Family Cost of Addiction | Early Findings","Early UK findings examine addiction","https://www.insightrecoverynetwork.com/resources/hidden-family-cost-of-addiction","index, follow","The Hidden Cost of Addiction Is Not Only Financial","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, BreadcrumbList, ListItem, Country","","","","",""
"Crypto Trading Addiction: Warning Signs, Family Impact and Getting Help","/resources/crypto-trading-addiction-warning-signs-help","crypto trading addiction: signs, impact & help","general recovery signs; risks; support; treatment options","Informational","Awareness","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Assessment or suitable support enquiry","P2","Existing","Low","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Existing inventory","Resource article","General recovery","Live","","No - raw HTML orphan","Yes / present","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Crypto Trading Addiction: Signs, Impact & Help","Understand crypto trading addiction, including warning signs, chasing losses, family impact and practical routes to confidential support in the UK.","https://www.insightrecoverynetwork.com/resources/crypto-trading-addiction-warning-signs-help","index, follow","Crypto Trading Addiction: Warning Signs, Family Impact and Getting Help","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"What Does Enabler Mean in Addiction?","/resources/what-does-enabler-mean","what does enabler mean in addiction?","family support signs; risks; support; treatment options","Informational","Awareness","Family support","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Family support enquiry","P2","Existing","Low","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","Existing inventory","Resource article","Family support","Live","","No - raw HTML orphan","Yes / present","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link.","What Does Enabler Mean in Addiction?","Learn what enabling means in addiction, why families do it, and how to support someone without protecting the addiction.","https://www.insightrecoverynetwork.com/resources/what-does-enabler-mean","index, follow","What Does Enabler Mean in Addiction?","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
"How to Help Someone With Addiction Without Enabling Them","/resources/help-someone-with-addiction-without-enabling","help someone with addiction without enabling","family support signs; risks; support; treatment options","Informational","Awareness","Family support","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Family support enquiry","P2","Existing","Low","No blocking metadata or status issue in the 28 August 2026 live crawl.","Existing inventory","Resource article","Family support","Live","","Partial / present","Yes / present","","","","","Monitor and refresh according to content risk and performance.","Help Someone With Addiction Without Enabling","Learn how to support someone with addiction without rescuing, covering up, giving money, or protecting harmful behaviour.","https://www.insightrecoverynetwork.com/resources/help-someone-with-addiction-without-enabling","index, follow","How to Help Someone With Addiction Without Enabling Them","ProfessionalService, PostalAddress, ContactPoint, WebSite, Article, Person, Organization, ImageObject, WebPage, FAQPage, Question, Answer, BreadcrumbList, ListItem, Country","","","","",""
